ARENA_CHUNK|CLASS|CODE|COMPILER|GC|INTERNAL|JAVA_HEAP|NATIVE_MEMORY_TRACKING|SYMBOL|THREAD|TOTAL
197KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47308KB|465871KB
197KB|80658KB|24633KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47308KB|465872KB
197KB|80658KB|24633KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47308KB|465872KB
197KB|80658KB|24633KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47308KB|465872KB
197KB|80658KB|24633KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47308KB|465872KB
133KB|80658KB|24633KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465872KB
133KB|80658KB|24633KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465872KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
198KB|80658KB|24632KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465937KB
197KB|80659KB|24633KB|249KB|19977KB|11952KB|262144KB|3031KB|15728KB|48401KB|466971KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB
198KB|80658KB|24631KB|245KB|19977KB|11951KB|262144KB|3031KB|15728KB|47372KB|465935KB

